en,de,tr
About,Über,Bilgi
Vocabs,Vokabeln,Kelimeler
Resources,Resourcen,Kaynaklar
Map,Karte,Kart
Settings,Einstellungen,Ayarlar
RESET_WARNING,"Wenn Sie auf Reset klicken, \nwerden ihre Spieldaten \nunwiderruflich gelöscht.","Resete tıklarsanız,\noyun verileriniz\n geri alınamaz silinecek. "
Music,Musik,Müzik
Background Color,Hintergrundfarbe,Arka plan rengi
Buy for ,Kaufe für ,Satın al: 
Won ,Gewonnen: ,Kazandın: 
Lost ,Verloren: ,Yenildin: 
Drawn ,Unentschieden ,Beraber
Fight,Kämpfen,Dövüş
Click on the correct translation of the word.,Klicken Sie auf den \nrichtigen Übersetzung des Worts.,Kelimenin doğru çevirimine tıkla.
Language,Sprache,Dil
Right,Richtig,Doğru
Wrong. Right: ,Falsch. Richtig: ,Yanlış. Doğru: 
Back to Home,Zu Home,Eve git
Play again,Nochmal spielen,Yeniden oyna

